_date,total_clones,unique_clones
2021-06-19,18,17
2021-06-20,87,32
2021-06-21,83,31
2021-06-22,85,32
2021-06-23,189,41
2021-06-24,92,37
2021-06-25,108,38
2021-06-26,66,35
2021-06-27,96,30
2021-06-28,86,26
2021-06-29,100,35
2021-06-30,110,32
2021-07-01,233,49
2021-07-02,288,46
2021-07-03,178,40
2021-07-04,247,45
2021-07-05,381,51
2021-07-06,136,37
2021-07-07,139,38
2021-07-08,109,31
2021-07-09,110,29
2021-07-10,115,34
2021-07-11,126,40
2021-07-12,154,37
2021-07-13,162,35
2021-07-14,135,26
2021-07-15,194,38
2021-07-16,123,34
2021-07-17,151,35
2021-07-18,153,38
2021-07-19,199,38
2021-07-20,187,30
2021-07-21,113,31
2021-07-22,150,29
2021-07-23,209,30
2021-07-24,146,32
2021-07-25,161,38
2021-07-26,197,40
2021-07-27,149,30
2021-07-28,80,31
2021-07-29,80,31
2021-07-30,157,35
2021-07-31,145,30
2021-08-01,151,31
2021-08-02,173,35
2021-08-03,165,30
2021-08-04,253,45
2021-08-05,205,39
2021-08-06,221,34
2021-08-07,183,34
2021-08-08,217,35
2021-08-09,150,30
2021-08-10,175,34
2021-08-11,362,43
2021-08-12,147,29
2021-08-13,193,36
2021-08-14,153,32
2021-08-15,155,27
2021-08-16,98,31
2021-08-17,145,24
2021-08-18,195,35
2021-08-19,148,28
2021-08-20,90,25
2021-08-21,144,22
2021-08-22,145,21
2021-08-23,92,25
2021-08-24,151,25
2021-08-25,92,26
2021-08-26,226,34
2021-08-27,175,25
2021-08-28,86,23
2021-08-29,94,25
2021-08-30,292,43
2021-08-31,554,42
2021-09-01,240,32
2021-09-02,367,39
2021-09-03,126,28
2021-09-04,216,27
2021-09-05,135,32
2021-09-06,221,28
2021-09-07,361,41
2021-09-08,251,30
2021-09-09,347,32
2021-09-10,362,26
2021-09-11,252,23
2021-09-12,280,19
2021-09-13,356,28
2021-09-14,366,26
2021-09-15,379,30
2021-09-16,348,26
2021-09-17,379,33
2021-09-18,290,25
2021-09-19,382,32
2021-09-20,413,34
2021-09-21,356,29
2021-09-22,325,22
2021-09-23,400,30
2021-09-24,397,31
2021-09-25,259,23
2021-09-26,294,24
2021-09-27,338,21
2021-09-28,392,31
2021-09-29,368,30
2021-09-30,377,30
2021-10-01,400,31
2021-10-02,357,30
2021-10-03,254,27
2021-10-04,290,28
2021-10-05,380,29
2021-10-06,402,29
2021-10-07,359,29
2021-10-08,348,28
2021-10-09,346,26
2021-10-10,383,32
2021-10-11,357,29
2021-10-12,284,24
2021-10-13,271,27
2021-10-14,279,24
2021-10-15,258,24
2021-10-16,160,16
2021-10-17,17,10
2021-10-18,115,15
2021-10-19,315,26
2021-10-20,600,23
2021-10-21,1036,24
2021-10-22,868,23
2021-10-23,730,21
2021-10-24,537,24
2021-10-25,595,22
2021-10-26,396,23
2021-10-27,317,23
2021-10-28,226,19
2021-10-29,253,23
2021-10-30,243,25
2021-10-31,240,24
2021-11-01,231,22
2021-11-02,250,22
2021-11-03,214,17
2021-11-04,225,19
2021-11-05,226,19
2021-11-06,241,22
2021-11-07,259,26
2021-11-08,306,22
2021-11-09,218,21
2021-11-10,194,19
2021-11-11,223,20
2021-11-12,241,23
2021-11-13,227,20
2021-11-14,226,19
