_date,total_views,unique_views
2021-06-19,2,1
2021-06-22,2,2
2021-06-23,1,1
2021-06-26,6,2
2021-06-29,1,1
2021-06-30,2,1
2021-07-01,1,1
2021-07-02,8,1
2021-07-03,9,1
2021-07-06,1,1
2021-07-07,1,1
2021-07-08,1,1
2021-07-10,2,1
2021-07-11,1,1
2021-07-12,1,1
2021-07-13,2,2
2021-07-14,3,2
2021-07-18,2,2
2021-07-19,2,1
2021-07-24,2,1
2021-07-31,2,2
2021-08-05,1,1
2021-08-09,1,1
2021-08-10,3,2
2021-08-14,2,2
2021-08-17,2,1
2021-08-23,1,1
2021-08-26,1,1
2021-08-27,1,1
2021-09-02,6,1
2021-09-20,1,1
2021-09-21,1,1
2021-09-27,1,1
2021-09-30,1,1
2021-10-17,1,1
2021-10-18,1,1
2021-10-19,1,1
2021-10-24,1,1
2021-10-29,4,1
2021-11-01,1,1
2021-11-05,1,1
2021-11-06,2,2
2021-11-22,2,1
2021-11-29,1,1
2021-12-01,1,1
2021-12-10,1,1
2021-12-11,1,1
2021-12-14,1,1
2021-12-19,1,1
2022-01-01,1,1
2022-01-06,1,1
2022-01-12,3,3
2022-01-14,1,1
2022-01-18,1,1
2022-01-19,2,2
2022-01-20,2,2
2022-01-21,2,1
2022-01-22,1,1
2022-01-25,1,1
2022-01-29,2,1
2022-02-04,1,1
2022-02-05,1,1
2022-02-15,4,1
2022-02-21,2,1
2022-02-22,1,1
2022-02-24,1,1
2022-02-28,1,1
2022-03-02,1,1
2022-03-18,1,1
2022-03-26,3,1
2022-03-28,1,1
2022-03-30,3,3
2022-03-31,1,1
2022-04-01,1,1
2022-04-02,1,1
2022-04-05,1,1
2022-04-11,6,3
2022-04-15,1,1
2022-04-22,1,1
2022-05-10,4,1
2022-05-12,1,1
2022-05-16,1,1
2022-05-20,1,1
2022-05-26,2,2
2022-05-29,2,1
2022-06-11,1,1
2022-06-14,1,1
2022-06-15,1,1
2022-06-16,2,2
2022-06-25,2,2
2022-07-03,1,1
2022-07-04,18,1
2022-07-05,1,1
2022-07-06,5,1
2022-07-07,4,2
2022-07-08,1,1
2022-07-12,1,1
2022-07-13,2,2
2022-07-19,1,1
2022-07-20,7,1
2022-07-22,23,1
2022-07-23,1,1
2022-08-04,1,1
2022-08-15,2,1
2022-08-25,1,1
2022-08-29,1,1
2022-09-07,3,2
2022-09-21,1,1
